,precision,recall,f1-score,support
Center,0.5758323057953144,0.5612980769230769,0.5684723067559343,832.0
Donut,0.6390977443609023,0.5821917808219178,0.6093189964157706,146.0
Edge-Loc,0.7179902755267423,0.6392496392496393,0.6763358778625954,2772.0
Edge-Ring,0.9228070175438596,0.7007104795737122,0.7965673902069662,1126.0
Loc,0.49977905435262926,0.5732387227572225,0.5339943342776204,1973.0
Random,0.8712871287128713,0.9263157894736842,0.8979591836734694,95.0
Scratch,0.762114537444934,0.6731517509727627,0.7148760330578512,257.0
Near-full,0.6373056994818653,0.354978354978355,0.45597775718257644,693.0
none,0.9800899857208287,0.9858447529832612,0.9829589465530596,110701.0
accuracy,0.9602850035836249,0.9602850035836249,0.9602850035836249,0.9602850035836249
macro avg,0.7340337498822164,0.6663310386370702,0.692940091776205,118595.0
weighted avg,0.9596108153060763,0.9602850035836249,0.9594569626044788,118595.0
