Actual_Label,Predicted_Label,Count
none,Near-full,93
Edge-Ring,Edge-Loc,60
none,Edge-Loc,27
Loc,Donut,25
Near-full,none,25
Loc,Edge-Loc,24
Edge-Ring,none,18
none,Center,18
none,Scratch,15
Edge-Loc,none,14
Edge-Loc,Loc,9
Loc,Near-full,9
Scratch,Edge-Loc,7
Edge-Loc,Near-full,7
Loc,Center,5
Center,Donut,5
Scratch,Donut,5
Edge-Ring,Center,5
none,Loc,4
Loc,none,4
Center,none,4
Center,Scratch,4
Center,Loc,4
Edge-Loc,Center,4
Near-full,Loc,4
Edge-Ring,Near-full,3
Near-full,Center,3
Near-full,Donut,3
Scratch,none,2
Near-full,Edge-Loc,2
Donut,Near-full,1
Edge-Loc,Donut,1
Edge-Loc,Edge-Ring,1
Loc,Random,1
Edge-Ring,Donut,1
Edge-Ring,Loc,1
Scratch,Center,1
Near-full,Scratch,1
none,Donut,1
Scratch,Random,1
